label,statement,cleaned_statement,label_encoded,binary_label
false,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,austin is burdened by the fastestgrowing tax increases of any major city in the nation,1,0
false,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",phoenix arizona is the no  kidnapping capital of the world,1,0
true,I belong to the AFL-CIO.,i belong to the aflcio,5,1
mostly-true,The insurance commissioner cant do squat about health care.,the insurance commissioner cant do squat about health care,3,1
half-true,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,says a poll found him the only republican candidate who could beat barack obama in texas  and by eight points,2,1
barely-true,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",president ronald reagan sent troops into conflict only in one circumstance which was in grenada we were in a peacekeeping setting in lebanon,0,0
barely-true,Says David Jolly supports privatizing Social Security.,says david jolly supports privatizing social security,0,0
true,Did you know US population growth is at its lowest since the Great Depression?,did you know us population growth is at its lowest since the great depression,5,1
mostly-true,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",the average student in florida what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones,3,1
true,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",since  more americans have died from gunfire than died in all the wars of this countrys history,5,1
mostly-true,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,a foreclosure tax that would take effect in  could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender,3,1
false,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,the florida department of agricultures website freshfromfloridacom can be used to get a permit to carry a loaded hidden gun without ever leaving your house,1,0
pants-fire,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",the atlanta streetcar is expected to create  jobs during construction totaling more than  jobs over the next  years,4,0
mostly-true,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",raising the minimum wage to  an hour would help lift over a million americans out of poverty,3,1
mostly-true,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",says secretary of state john kerry when he was a senator flew to managua and met with a communist dictator there daniel ortega and accused the reagan administration of engaging in terrorism,3,1
false,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",nato is opening up a major terror division  im sure im not going to get credit for it but that was largely because of what i was saying and my criticism of nato,1,0
true,Sen. Obama has always had a 100 percent prochoice rating.,sen obama has always had a  percent prochoice rating,5,1
half-true,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",since gina raimondo took office investment fees on the states pension portfolio have gone up from about  million annually to about  million,2,1
true,The (federal) debt is growing by more than $4 billion a day.,the federal debt is growing by more than  billion a day,5,1
half-true,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",under president barack obamas jobs bill states would no longer have to lay off teachers firefighters and police officers,2,1
false,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",of our  teachers who are k over  of those teachers today are over  years old,1,0
mostly-true,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,twothirds of wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions,3,1
half-true,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",under president obamas healthcare reforms the premium for an average plan for a family didnt go down by  per year its gone up about  per year,2,1
half-true,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",the irs also investigated liberal groups groups that had progressive in their name  the irs was basically looking at everybody,2,1
barely-true,Says Obama promised unemployment would never go above 8 percent.,says obama promised unemployment would never go above  percent,0,0
true,The economy is creating jobs at the fastest pace since 1999.,the economy is creating jobs at the fastest pace since,5,1
mostly-true,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,president obama decided not to meet with prime minister benjamin netanyahu in new york,3,1
mostly-true,"In a majority of states, you can now marry freely, but can still be fired for who you love.",in a majority of states you can now marry freely but can still be fired for who you love,3,1
pants-fire,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,say oregon reps peter defazio and earl blumenauer are socialists who are openly serving in the us congress,4,0
pants-fire,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",rudy giuliani is probably the most underqualified man since george bush to seek the presidency,4,0
false,"About half of the presidents have been governors; half of them, senators.",about half of the presidents have been governors half of them senators,1,0
mostly-true,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",after britains vote to leave the european union within  hours americans lost  billion from our ks,3,1
mostly-true,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",medicaid spending declined by  percent in  the second such decline in  years,3,1
true,Says 88 Texas constables have died in the line of duty.,says  texas constables have died in the line of duty,5,1
mostly-true,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",gov rick scott cut the cost of prepaid college tuition by nearly,3,1
mostly-true,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",the city of columbus would save  million a year if employees had to contribute to their own guaranteedcheck pensions,3,1
true,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",as floridas cfo i shut down krakows scam and refunded more than  million to josephine and other victims of this con man,5,1
mostly-true,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,you had more women getting computer sciences degrees in the s by a factor of plus than you do now,3,1
false,The Air Force wants taxpayers to fund a fantasy football league.,the air force wants taxpayers to fund a fantasy football league,1,0
pants-fire,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,barack hussein obama will  force courts to accept islamic sharia law in domestic disputes,4,0
half-true,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,about  percent of murders and crimes are committed with guns from people who actually legally purchase those guns,2,1
mostly-true,Some neighborhood schools are closing.,some neighborhood schools are closing,3,1
mostly-true,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,he told gay organizers in massachusetts he would be a stronger advocate for special rights than even ted kennedy,3,1
mostly-true,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",the years that i was speaker the florida house consistently offered leaner budgets than the governor offered,3,1
barely-true,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",we are already almost halfway to our  goal of creating  new jobs in seven years,0,0
true,Says the U.S. Supreme Court found that Social Security is not guaranteed.,says the us supreme court found that social security is not guaranteed,5,1
false,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,saysmichael bennet wants to close guantanamo bay prisonand bring terrorists right here to colorado,1,0
true,Oregonians have an amazing no-cost way to fight abortion with free political donations,oregonians have an amazing nocost way to fight abortion with free political donations,5,1
pants-fire,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",the president said hes going to bring in  syrian and iraqi refugees into this country,4,0
barely-true,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity and thats what they support,0,0
mostly-true,Newt Gingrichs immigration plan offers a new doorway to amnesty.,newt gingrichs immigration plan offers a new doorway to amnesty,3,1
false,Mr. Caprio is a career politician who has never worked in the private sector.,mr caprio is a career politician who has never worked in the private sector,1,0
barely-true,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",in rhode island  percent of workers use the states temporary disability insurance program each year while in new jersey the rate is only  percent,0,0
mostly-true,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",in just  years spending for social security federal health care and interest on the debt will exceed all tax revenue,3,1
mostly-true,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,president obama took more money from wall street in the  campaign than anybody ever had,3,1
half-true,Donald Trump has said nuclear proliferation is OK.,donald trump has said nuclear proliferation is ok,2,1
true,"Hillary Clinton has taken over $800,000 from lobbyists.",hillary clinton has taken over  from lobbyists,5,1
false,Barack Obama has never even worked in business.,barack obama has never even worked in business,1,0
half-true,Says the Arizona immigration law expressly bans racial profiling.,says the arizona immigration law expressly bans racial profiling,2,1
false,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,says gov rick perry has been begging for the federal government to send the coast guard to patrol two lakes on the usmexico border,1,0
barely-true,"On the VA: Over 300,000 veterans have died waiting for care.",on the va over  veterans have died waiting for care,0,0
mostly-true,Were now spending 42 percent of our economy on government.,were now spending  percent of our economy on government,3,1
barely-true,Rob Cornilles supports privatizing Medicare.,rob cornilles supports privatizing medicare,0,0
false,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",in  dan branch tried to expand thirdtrimester abortions in texas,1,0
half-true,We (Democrats) have made steady progress creating jobs and improving our schools.,we democrats have made steady progress creating jobs and improving our schools,2,1
pants-fire,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,michigan and massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there,4,0
true,"Whether you like to admit it or not, half our general revenue goes to education.",whether you like to admit it or not half our general revenue goes to education,5,1
false,Im the only one whos fought against developers draining the Everglades!,im the only one whos fought against developers draining the everglades,1,0
half-true,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,says ron johnson calls social security a ponzi scheme and wants to privatize the program,2,1
half-true,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",there are  other states and  other cities that have the same type of policies that we just passed referring to north carolinas house bill,2,1
barely-true,Climate change is directly related to the growth of terrorism.,climate change is directly related to the growth of terrorism,0,0
barely-true,The jobs bill includes President Obamas tax on soup kitchens,the jobs bill includes president obamas tax on soup kitchens,0,0
barely-true,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,says the obama administration spent taxpayer dollars on electric cars in finland and windmills in china,0,0
half-true,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,while sarah was mayor of wasilla she tried to fire our highly respected city librarian because the librarian refused to consider removing from the library some books that sarah wanted removed,2,1
half-true,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",if milwaukee approves reducing its maximum forfeiture for marijuana possession to  the city would have  different bicycle violations that have a higher forfeiture,2,1
false,We have more illegal immigrants here than we did five years ago.,we have more illegal immigrants here than we did five years ago,1,0
barely-true,Says Rick Perry wrote a letter supporting Hillarycare.,says rick perry wrote a letter supporting hillarycare,0,0
false,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,the us patent and trademark office received zero complaints about the washington redskins name,1,0
pants-fire,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",the presidents health care proposals will cause most americans to have their premiums increased not decreased and hundreds of millions of people lose their current insurance coverage,4,0
mostly-true,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,mexican immigrants are more lawabiding than us citizens and that is a statistic,3,1
half-true,Says Chris Christie vetoed a jobs package of 30 bills.,says chris christie vetoed a jobs package of  bills,2,1
true,There are already more American jobs in the solar industry than in coal mining.,there are already more american jobs in the solar industry than in coal mining,5,1
half-true,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,says illinois gubernatorial candidate bill bradys first priority after winning the primary was to sponsor a bill that would masseuthanize sheltered dogs and cats in gas chambers,2,1
half-true,Barack Obama is in an economy thats only worsened since hes been president of the United States.,barack obama is in an economy thats only worsened since hes been president of the united states,2,1
mostly-true,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",romney failed to take action against sanctuary cities in massachusetts,3,1
half-true,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",says new jersey is down nearly  jobs from its prerecession peak and with gov chris christie new jersey has trailed the rest of america when it comes to unemployment for  consecutive months,2,1
false,Says Thomas Eric Duncan came into the United States with an elevated temperature.,says thomas eric duncan came into the united states with an elevated temperature,1,0
mostly-true,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,we have been in afghanistan longer now than we have been in any foreign land conducting a war in our nations history,3,1
half-true,Gas prices have gone up $2 since Obama took office.,gas prices have gone up  since obama took office,2,1
true,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,webster sponsored a bill to create a form of marriage that would trap women in abusive relationships,5,1
true,Says judges get better benefits at a lower cost than everybody else in the state.,says judges get better benefits at a lower cost than everybody else in the state,5,1
true,There are a lot of casinos across the country that have gone bankrupt.,there are a lot of casinos across the country that have gone bankrupt,5,1
true,Small businesses create 70 percent of the jobs in America.,small businesses create  percent of the jobs in america,5,1
half-true,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",seniors with coverage under medicare advantage will give up more than their share because of health care reform,2,1
half-true,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",over  school kids were arrested in florida it makes florida the nations leader in that area,2,1
mostly-true,If Texas were a country our economy would rank # 10...in the WORLD.,if texas were a country our economy would rank  in the world,3,1
false,There are more oil rigs in operation in the United States than the rest of the world combined.,there are more oil rigs in operation in the united states than the rest of the world combined,1,0
half-true,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",payday lenders profit from the poor by charging plus percent interest,2,1
half-true,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",the social security trust fund is sound without anything being done it would function well into  and even after that time with no changes we could pay  percent of the benefits that people have earned,2,1
mostly-true,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,it is a commitment voters take very seriously the only incumbent in ohio to break his pledge and vote for ted stricklands income tax hike was defeated soundly on tuesday,3,1
false,The Obama administration shut down the Amber Alert program because of the government shutdown.,the obama administration shut down the amber alert program because of the government shutdown,1,0
mostly-true,The Republicans have 2 percent of the Muslim vote.,the republicans have  percent of the muslim vote,3,1
mostly-true,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",we see americas prison population exploding with america having a greater percentage of its people behind bars than any other nation in the world,3,1
